ImageId,Label
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,0
12,1
13,2
14,3
15,4
16,5
17,6
18,7
19,8
20,9
21,0
22,1
23,2
24,3
25,4
26,5
27,6
28,7
29,8
30,9
31,0
32,1
33,2
34,3
35,4
36,5
37,6
38,7
39,8
40,9
41,0
42,1
43,2
44,3
45,4
46,5
47,6
48,7
49,8
50,9
51,0
52,1
53,2
54,3
55,4
56,5
57,6
58,7
59,8
60,9
61,0
62,1
63,2
64,3
65,4
66,5
67,6
68,7
69,8
70,9
71,0
72,1
73,2
74,3
75,4
76,5
77,6
78,7
79,8
80,9
81,0
82,1
83,2
84,3
85,4
86,5
87,6
88,7
89,8
90,9
91,0
92,1
93,2
94,3
95,4
96,5
97,6
98,7
99,8
100,9
101,0
102,1
103,2
104,3
105,4
106,5
107,6
108,7
109,8
110,9
111,0
112,1
113,2
114,3
115,4
116,5
117,6
118,7
119,8
120,9
121,0
122,1
123,2
124,3
125,4
126,5
127,6
128,7
129,8
130,9
131,0
132,1
133,2
134,3
135,4
136,5
137,6
138,7
139,8
140,9
141,0
142,1
143,2
144,3
145,4
146,5
147,6
148,7
149,8
150,9
151,0
152,1
153,2
154,3
155,4
156,5
157,6
158,7
159,8
160,9
161,0
162,1
163,2
164,3
165,4
166,5
167,6
168,7
169,8
170,9
171,0
172,1
173,2
174,3
175,4
176,5
177,6
178,7
179,8
180,9
181,0
182,1
183,2
184,3
185,4
186,5
187,6
188,7
189,8
190,9
191,0
192,1
193,2
194,3
195,4
196,5
197,6
198,7
199,8
200,9
201,0
202,1
203,2
204,3
205,4
206,5
207,6
208,7
209,8
210,9
211,0
212,1
213,2
214,3
215,4
216,5
217,6
218,7
219,8
220,9
221,0
222,1
223,2
224,3
225,4
226,5
227,6
228,7
229,8
230,9
231,0
232,1
233,2
234,3
235,4
236,5
237,6
238,7
239,8
240,9
241,0
242,1
243,2
244,3
245,4
246,5
247,6
248,7
249,8
250,9
251,0
252,1
253,2
254,3
255,4
256,5
257,6
258,7
259,8
260,9
261,0
262,1
263,2
264,3
265,4
266,5
267,6
268,7
269,8
270,9
271,0
272,1
273,2
274,3
275,4
276,5
277,6
278,7
279,8
280,9
281,0
282,1
283,2
284,3
285,4
286,5
287,6
288,7
289,8
290,9
291,0
292,1
293,2
294,3
295,4
296,5
297,6
298,7
299,8
300,9
301,0
302,1
303,2
304,3
305,4
306,5
307,6
308,7
309,8
310,9
311,0
312,1
313,2
314,3
315,4
316,5
317,6
318,7
319,8
320,9
321,0
322,1
323,2
324,3
325,4
326,5
327,6
328,7
329,8
330,9
331,0
332,1
333,2
334,3
335,4
336,5
337,6
338,7
339,8
340,9
341,0
342,1
343,2
344,3
345,4
346,5
347,6
348,7
349,8
350,9
351,0
352,1
353,2
354,3
355,4
356,5
357,6
358,7
359,8
360,9
361,0
362,1
363,2
364,3
365,4
366,5
367,6
368,7
369,8
370,9
371,0
372,1
373,2
374,3
375,4
376,5
377,6
378,7
379,8
380,9
381,0
382,1
383,2
384,3
385,4
386,5
387,6
388,7
389,8
390,9
391,0
392,1
393,2
394,3
395,4
396,5
397,6
398,7
399,8
400,9
401,0
402,1
403,2
404,3
405,4
406,5
407,6
408,7
409,8
410,9
411,0
412,1
413,2
414,3
415,4
416,5
417,6
418,7
419,8
